Solyc01g111010	SlXIP1.6	X-intrinsic protein 1.6
Solyc01g111170	cyp	cyclophilin
Solyc01g111310	LAX2	SlLAX2
Solyc01g111450	psr5	LEY14339 proteasome, alpha subunit
Solyc01g111660	SlPIP2.8	plasma membrane intrinsic protein 2.8
Solyc01g111880	SlMAPKKK11	MAP kinase kinase kinase 11
Solyc01g112000	exla1	expansin-like protein precursor 1
Solyc01g112280	ctd3	partialaminoacylase-1
Solyc02g005350	scoa2	succinyl-CoA ligase alpha 2 subunit
Solyc02g014770	SlDEAH7	RNA helicase DEAH-box7
Solyc02g021240	opt1	oligopeptide transporter 1
Solyc02g021470	CUL4	cullin
Solyc02g021650	ddb1	UV damaged DNA binding protein 1
Solyc02g021680	SlWRKY35	WRKY transcription factor 35
Solyc02g021760	SlC3H16	Zinc finger transcription factor 16
Solyc02g022920	ern1	ethylene-responsive nuclear protein
Solyc02g030170	dwf1	DWARF1/DIMINUTO
Solyc02g031860	SlMAPKKK12	MAP kinase kinase kinase 12
Solyc02g031980	ured	urease accessory protein D
Solyc02g032950	SlWRKY16	WRKY transcription factor 16
Solyc02g036350	EF501822	1-aminocyclopropane-1-carboxylate oxidase EF501822
Solyc02g036370	Solyc02g036370	Myb family transcription factor
Solyc02g037530	Sl-ARF8B	auxin response factor 8B
Solyc02g061690	SlCycB2_2	cyclinB2_2
Solyc02g061770	chi2	chitinase 2
Solyc02g062230	SlSAUR32	Small auxin up-regulated RNA32
Solyc02g062420	grrl2	green ripe-like 2
Solyc02g062560	Tm-1	Tobacco mosaic virus resistance-1
Solyc02g062740	drm5	cytosine-5 DNA methyltransferase5
Solyc02g062950	gbf12	G-box binding
Solyc02g062970	app2	Xaa-Pro aminopeptidase 2
Solyc02g063070	tft4	tft4
Solyc02g063150	TOMRBCSD	RuBP carboxylase small subunit
Solyc02g063310	SlNIP4.3	NOD26-like intrinsic protein 4.3
Solyc02g063430	SlbHLH078	bHLH transcription factor 078
Solyc02g063540	acs7	1-aminocyclopropane-1-carboxylate synthase 7
Solyc02g064650	txetb2	xyloglucan endo-transglycosylase B2
Solyc02g064830	SlGH3_3	Indole-3-acetic acid-amido synthetas 3-3
Solyc02g064860	SlCycD3_5	cyclinD3_5
Solyc02g064900	SlCycD3_6	cyclinD3_6
Solyc02g064910	SlCycD3_7	cyclinD3_7
Solyc02g064930	SlMAPKKK13	MAP kinase kinase kinase 13
Solyc02g064960	AP2b	APETALA2b
Solyc02g064970	Solyc02g064970	Peroxidase
Solyc02g064980	SlMAPKKK14	MAP kinase kinase kinase
Solyc02g065110	SlMAPKKK15	MAP kinase kinase kinase 15
Solyc02g065400	psbo	33kDa precursor protein of oxygen-evolving complex
Solyc02g065550	aci19	ACI19
Solyc02g065750	AB190445	cytochrome P450 AB190445
Solyc02g065800	SlTCP28	TCP transcription factor 28
Solyc02g067030	snf1	SNF1
Solyc02g067180	AY508112	cystathionine gamma synthase
Solyc02g067230	SlDof3	Dof zinc finger protein3
Solyc02g067340	thm6	R2R3MYB transcription factor  96
Solyc02g067430	SlWRKY72	WRKY transcription factor 72
Solyc02g067440	TOMTRALTAD	meloidogyne-induced giant cell protein DB114
Solyc02g067630	tapg2	abscission polygalacturonase 2
Solyc02g067870	chi	chalcone isomerase
Solyc02g068190	SlDEAD6	RNA helicase DEAD6
Solyc02g068200	SlTCP18	TCP transcription factor 18
Solyc02g068920	AF465780	lecithine cholesterol acyltransferase
Solyc02g069190	irt2	iron-regulated transporter 2
Solyc02g069200	irt1	iron-regulated transporter 1
Solyc02g069260	SlAGO2a	Argonaute2a
Solyc02g069270	SlAGO2b	Argonaute 2b
Solyc02g069280	SlAGO3	Argonaute3
Solyc02g069310	nml1	NIM1-like protein 1
Solyc02g069940	AY917129	WPP domain associated protein
Solyc02g070100	SlDEAD7	RNA helicase DEAD7
Solyc02g070240	SlC3H17	Zinc finger transcription factor 17
Solyc02g070580	sd1	sterol 22-desaturase
Solyc02g070880	BHLH1	Helix-loop-helix DNA-binding
Solyc02g070890	fls2	Flagellin Sensing 2
Solyc02g071130	SlWRKY71	WRKY transcription factor 71
Solyc02g071220	SlRRA2	type-A response regulator2
Solyc02g071620	GDSL1	GDSL-motif lipase/hydrolase family protein 1
Solyc02g071730	tag1	Tomato AGAMOUS 1
Solyc02g071740	SlMAPKKK16	MAP kinase kinase kinase 16
Solyc02g071910	SlNIP2.2	NOD26-like intrinsic protein 2.2
Solyc02g071920	SlNIP1.2	NOD26-like intrinsic protein 1.2
Solyc02g072030	SlOFP5	ovate family protein 5
Solyc02g072190	SlWRKY79	WRKY transcription factor 79
Solyc02g076780	SlMAPKKK17	MAP kinase kinase kinase 17
Solyc02g077040	pip1	phytophthora-inhibited protease 1
Solyc02g077250	SlTCP1	TCP transcription factor 1
Solyc02g077360	Sl-ERF_B_2	Ethylene Response Factor B.2
Solyc02g077370	Sl-ERF_C_5	Ethylene Response Factor  C.5
Solyc02g077390	s	compound inflorescence
Solyc02g077560	arf3	auxin response factor 3
Solyc02g077920	Cnr	Colorless non-ripening
Solyc02g078140	SlMAPKKK18	MAP kinase kinase kinase 18
Solyc02g078260	rpb2	RNA polymerase II subunit 2
Solyc02g078880	SlDEAD8	RNA helicase DEAD8
Solyc02g078910	tbn1	endonuclease AM238701
Solyc02g078990	tst	thiosulfate sulfurtransferase
Solyc02g079220	ht1	Sugar transporter protein 1
Solyc02g079370	SlCycD6_3	cyclinD6_3
Solyc02g079930	psr	phosphosulfolactate synthase
Solyc02g079950	psbq	photosystem II oxygen-evolving complex protein 3
Solyc02g080120	Solyc02g080120	Gibberellin 2-beta- dioxygenase 7
Solyc02g080260	wo	Woolly
Solyc02g080370	th3	obamovirus multiplication 1
Solyc02g080640	asr	adenylyl-sulfate reductase
Solyc02g080790	SlDHS	Deoxyhypusine synthase
Solyc02g080800	DHS	deoxyhypusine synthase
Solyc02g080890	SlWRKY6	WRKY transcription factor 6
Solyc02g081120	ob849-tkn2	ob849-LEU76407  knotted 2
Solyc02g081120	LeT6	class 1 knotted-like homeodomain protein
Solyc02g081170	chrc	plastid lipid associated protein CHRC
Solyc02g081190	aco4	1-aminocyclopropane-1-carboxylate oxidase 4
Solyc02g081290	SlDEAD9	RNA helicase DEAD9
Solyc02g081330	psy2	phytoene synthase 2
Solyc02g081550	ftsh6	LeftsH6FtsH protease
Solyc02g081670	an	anantha
Solyc02g082110	SlC3H18	Zinc finger transcription factor  18
Solyc02g082260	AF420477	3-hydroxy-3-methylglutaryl CoA reductase
Solyc02g082480	SLGLR3_5	glutamate receptor-like 3.5
Solyc02g082760	er60	ethylene-responsive catalase
Solyc02g082820	cycb2	cyclin B2
Solyc02g082920	Z15141	acidic extracellular 26 kD chitinase
Solyc02g082930	Z15139	acidic extracellular 27 kD chitinase
Solyc02g083140	EU376535	ribonuclease E
Solyc02g083270	JJH2	anti-PCD protein 2
Solyc02g083350	RPB1	RNA polymerase 2 largest subunit 1
Solyc02g083510	SlPIP2.11	plasma membrane intrinsic protein 2.11
Solyc02g083590	TOMDHQS	dehydroquinate synthase
Solyc02g083950	wus	wuschel
Solyc02g084010	SlSAUR33	Small auxin up-regulated RNA33
Solyc02g084200	SlC3H19	Zinc finger transcription factor 19
Solyc02g084240	Z11842	H1 histone-like protein
Solyc02g084440	Solyc02g084440	Fructose-bisphosphate aldolase
Solyc02g084520	SlC3H20	Zinc finger transcription factor 20
Solyc02g084630	tdr6	TDR6 transcription factor
Solyc02g084720	tbg6	beta-galactosidase 6
Solyc02g084870	mapk8	mitogen-activated protein kinase 8
Solyc02g084930	Solyc02g084930	Solyc02g084930
Solyc02g085020	dfr	dihydroflavonol 4-reductase
Solyc02g085180	AY568723	alpha/beta fold family protein
Solyc02g085360	CYP90B3	CYP90B3 mRNA for cytochrome P450
Solyc02g085500	o	ovate
Solyc02g085510	OVATE	ovate family protein 1
Solyc02g085610	gbf4	LEGBF4G L.esculentum GBF4G-box binding protein
Solyc02g085640	app1	Xaa-Pro aminopeptidase 1
Solyc02g085700	ggps	geranylgeranyl pyrophosphate synthetase
Solyc02g085730	aoc	allene oxide cyclase
Solyc02g085840	rad23	RAD23 homolog
Solyc02g085870	CER6	beta-ketoacyl-coenzyme A synthase
Solyc02g086430	SlC3H21	Zinc finger transcription factor 21
Solyc02g086510	SlC3H22	Zinc finger transcription factor 22
Solyc02g086660	SlDEAD10	RNA helicase DEAD10
Solyc02g086680	AF250958	peptide deformylase AF250958
Solyc02g086820	ca2	chloroplast carbonic anhydrase
